seriesRank,seriesTitle,seriesLink,overallRating,numberOfRatings,timeRange,episodes,seasons,storyline,genres,language,countries
31,Scam 1992: The Harshad Mehta Story,https://www.imdb.com/title/tt12392504/?ref_=chttvtp_t_31,9.2,171000,2020,10,1,"The rise and fall of Harshad Mehta, a stockbroker who single-handedly took the stock market to great heights, is depicted.","Documentary, Drama, Crime",Hindi,India
234,Schitt's Creek,https://www.imdb.com/title/tt3526078/?ref_=chttvtp_t_234,8.5,169000,2015-2020,80,6,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.",Comedy,English,Canada
48,Cowboy Bebop,https://www.imdb.com/title/tt0213338/?ref_=chttvtp_t_48,8.9,166000,1998-1999,26,2,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Animation, Drama, Sci-Fi",Japanese,Japan
64,Curb Your Enthusiasm,https://www.imdb.com/title/tt0264235/?ref_=chttvtp_t_64,8.8,165000,2000-2024,120,12,Larry David stars as an over-the-top version of himself in this comedy series that shows how seemingly trivial details of day-to-day life can precipitate a catastrophic chain of events.,Comedy,English,United States
94,Six Feet Under,https://www.imdb.com/title/tt0248654/?ref_=chttvtp_t_94,8.7,165000,2001-2005,63,5,"When death is your business, what is your life? Laced with irony and dark situational humor, the show approaches the subject of death through the eyes of the Fisher family, who owns and operates a funeral home in Los Angeles.","Comedy, Drama",English,United States
77,Freaks and Geeks,https://www.imdb.com/title/tt0193676/?ref_=chttvtp_t_77,8.8,163000,1999-2000,18,2,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,"Comedy, Drama",English,United States
135,1883,https://www.imdb.com/title/tt13991232/?ref_=chttvtp_t_135,8.7,159000,2021-2022,10,2,"The post-Civil war generation of the Dutton family travels to Texas, and joins a wagon train undertaking the arduous journey west to Oregon, before settling in Montana to establish what would eventually become the Yellowstone Ranch.","Drama, Western",English,United States
55,When They See Us,https://www.imdb.com/title/tt7137906/?ref_=chttvtp_t_55,8.8,157000,2019,4,1,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,"Documentary, Drama, Crime",English,United States
123,The Marvelous Mrs. Maisel,https://www.imdb.com/title/tt5788792/?ref_=chttvtp_t_123,8.6,157000,2017-2023,43,5,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?","Drama, Comedy",English,United States
152,Mr. Bean,https://www.imdb.com/title/tt0096657/?ref_=chttvtp_t_152,8.6,149000,1990-1995,15,4,"Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.","Comedy, Family",English,United Kingdom
107,Star Trek: The Next Generation,https://www.imdb.com/title/tt0092455/?ref_=chttvtp_t_107,8.7,148000,1987-1994,176,7,"Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.","Sci-Fi, Action, Adventure",English,United States
10,Cosmos,https://www.imdb.com/title/tt2395695/?ref_=chttvtp_t_10,9.2,139000,2014,13,1,An exploration of our discovery of the laws of nature and coordinates in space and time.,Documentary,English,United States
120,Top Gear,https://www.imdb.com/title/tt1628033/?ref_=chttvtp_t_120,8.7,136000,2002-2022,328,33,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.","Sport, Adventure, Comedy",English,United Kingdom
24,Batman: The Animated Series,https://www.imdb.com/title/tt0103359/?ref_=chttvtp_t_24,9,135000,1992-1995,85,4,"Billionaire Bruce Wayne secretly operates as Batman, a vigilante who battles a rouges' gallery of criminals and supervillains in Gotham City with the aid of various sidekicks and allies.","Animation, Drama, Action",English,United States
173,The Newsroom,https://www.imdb.com/title/tt1870479/?ref_=chttvtp_t_173,8.6,134000,2012-2014,25,3,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",Drama,English,United States
233,The Office,https://www.imdb.com/title/tt0290978/?ref_=chttvtp_t_233,8.5,131000,2001-2003,14,3,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,"Comedy, Drama",English,United Kingdom
131,Adventure Time,https://www.imdb.com/title/tt1305826/?ref_=chttvtp_t_131,8.6,130000,2010-2018,289,10,"A 12-year-old boy and his best friend, a wise 28-year-old dog with magical powers, go on a series of surreal adventures in a remote future.","Comedy, Animation, Adventure",English,United States
181,Justified,https://www.imdb.com/title/tt1489428/?ref_=chttvtp_t_181,8.6,129000,2010-2015,78,6,"Enforcing his own brand of justice, U.S. Marshal Raylan Givens, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need.","Western, Drama, Crime",English,United States
30,Dexter: Resurrection,https://www.imdb.com/title/tt33043892/?ref_=chttvtp_t_30,9,127000,2025-,11,2,"Dexter Morgan awakens from a coma and sets out for New York City, determined to find Harrison and make things right. But when Miami Metro's Angel Batista arrives with questions, Dexter realizes his past is catching up to him fast.","Comedy, Drama, Thriller",English,United States
142,Deadwood,https://www.imdb.com/title/tt0348914/?ref_=chttvtp_t_142,8.6,127000,2004-2006,36,3,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.","Western, Drama, Crime",English,United States
71,Vinland Saga,https://www.imdb.com/title/tt10233448/?ref_=chttvtp_t_71,8.8,126000,2019-2023,48,2,"Following a tragedy, Thorfinn embarks on a journey with the man responsible for it to take his life in a duel as a true and honorable warrior.","Animation, Drama, Action",Japanese,Japan
189,What We Do in the Shadows,https://www.imdb.com/title/tt7908628/?ref_=chttvtp_t_189,8.5,125000,2019-2024,61,6,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,"Comedy, Fantasy, Horror",English,United States
