title,overall_rating,genres,language,seasons,episodes
Coupling,8.5,"Farce, Raunchy Comedy, Sitcom, Comedy, Romance",English,4,28
The IT Crowd,8.5,"Quirky Comedy, Sitcom, Comedy",English,5,26
Rocket Boys,8.9,"Historical Epic, Drama, History",Hindi,2,16
The Queen's Gambit,8.5,"Coming-of-Age, Epic, Period Drama, Psychological Drama, Drama",English,1,7
Samurai Champloo,8.5,"Adult Animation, Anime, Martial Arts, Samurai, Action, Adventure, Animation, Comedy, Drama, Thriller",Japanese,1,26
Flight of the Conchords,8.5,"Quirky Comedy, Comedy, Music, Musical",English,2,22
"Yes, Prime Minister",8.6,"Satire, Sitcom, Comedy",English,2,16
Endeavour,8.6,"Cop Drama, Whodunnit, Crime, Drama, Mystery",English,9,36
The Venture Bros.,8.6,"Adult Animation, Hand-Drawn Animation, Parody, Superhero, Action, Adventure, Animation, Comedy, Fantasy, Sci-Fi",English,7,86
Battlestar Galactica,8.5,"Artificial Intelligence, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi",English,4,76
Justice League,8.5,"Hand-Drawn Animation, Superhero, Action, Adventure, Animation, Family, Fantasy, Mystery, Sci-Fi",English,2,52
The Haunting of Hill House,8.5,"Psychological Horror, Supernatural Horror, Drama, Horror, Mystery, Thriller",English,1,10
The Family Man,8.7,"Action, Comedy, Drama, Thriller",Hindi,3,20
What We Do in the Shadows,8.6,"Mockumentary, Sitcom, Vampire Horror, Comedy, Fantasy, Horror",English,6,61
The Bugs Bunny Show,8.6,"Hand-Drawn Animation, Animation, Comedy",English,3,78
Justified,8.6,"Contemporary Western, Cop Drama, Police Procedural, Action, Crime, Drama, Mystery, Thriller, Western",English,6,78
QI,8.6,"Comedy, Game Show",English,22,358
Young Justice,8.6,"Superhero, Action, Adventure, Animation, Crime, Fantasy, Romance, Sci-Fi",English,4,122
Homicide: Life on the Street,8.7,"Cop Drama, Police Procedural, Crime, Drama, Mystery, Thriller",English,7,99
Demon Slayer: Kimetsu no Yaiba,8.6,"Anime, Dark Fantasy, Shōnen, Supernatural Fantasy, Action, Adventure, Animation, Fantasy, Thriller",Japanese,5,69
Yeh Meri Family,8.9,"Comedy, Drama, Family, Musical, Romance",Hindi,4,22
Boardwalk Empire,8.6,"Epic, Gangster, Period Drama, Political Drama, Crime, Drama",English,5,56
El Chavo del Ocho,8.7,"Slapstick, Comedy, Family",Spanish,7,357
The Bureau,8.7,"Political Drama, Political Thriller, Spy, Drama, Thriller",French,5,50
Dopesick,8.6,"Docudrama, Medical Drama, Tragedy, Drama",English,1,8
The Newsroom,8.6,"Political Drama, Workplace Drama, Drama",English,3,25
