title,genres,language,seasons,episodes
Shōgun,"Action Epic, Period Drama, War Epic, Adventure, Drama, History, War",Japanese,1,12
Primal,"Adult Animation, Dinosaur Adventure, Action, Adventure, Animation, Drama, Fantasy, Horror",English,2,21
Daredevil,"Gangster, Legal Drama, Superhero, Action, Crime, Drama, Fantasy, Sci-Fi, Thriller",English,3,39
The Bridge,"Cop Drama, Police Procedural, Serial Killer, Suspense Mystery, Crime, Mystery, Thriller",Danish,4,38
Mr Inbetween,"Comedy, Crime, Drama",English,3,26
It's a Sin,"Coming-of-Age, Drama",English,1,5
The Penguin,"Gangster, Tragedy, Crime, Drama",English,1,8
Ramayan,"Epic, Fantasy Epic, Period Drama, Adventure, Drama, Family, Fantasy, Musical, War",Sanskrit,1,51
The Crown,"Costume Drama, Epic, Historical Epic, Period Drama, Political Drama, Biography, Drama, History",English,6,60
Adventure Time,"Adult Animation, Buddy Comedy, Hand-Drawn Animation, Sword & Sorcery, Teen Adventure, Teen Comedy, Teen Fantasy, Action, Adventure, Animation",English,10,288
Dexter,"Psychological Drama, Psychological Thriller, Serial Killer, Suspense Mystery, Crime, Drama, Mystery, Thriller",English,8,96
Deadwood,"Classical Western, Epic, Historical Epic, Period Drama, Crime, Drama, History, Western",English,3,36
Atlanta,"Satire, Comedy, Drama, Music",English,4,41
The X Files,"Alien Invasion, Conspiracy Thriller, Police Procedural, Suspense Mystery, Adventure, Crime, Drama, Mystery, Sci-Fi, Thriller",English,11,217
House of Cards,"Epic, Political Drama, Drama",English,6,73
Parks and Recreation,"Mockumentary, Satire, Sitcom, Comedy",English,7,124
Aspirants,"Workplace Drama, Drama",Hindi,2,10
The Mandalorian,"Action Epic, Adventure Epic, Fantasy Epic, One-Person Army Action, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Fantasy, Sci-Fi",English,3,25
Code Geass: Lelouch of the Rebellion,"Anime, Mecha, Political Drama, Supernatural Fantasy, Action, Animation, Drama, Fantasy, Sci-Fi, Thriller",Japanese,2,54
Father Ted,"Sitcom, Comedy",English,3,25
Sarabhai V/S Sarabhai,"Sitcom, Comedy",Hindi,2,61
This Is Us,"Epic, Romantic Epic, Comedy, Drama, Romance",English,6,106
Behzat Ç: An Ankara Detective Story,"Cop Drama, Police Procedural, Crime, Drama, Mystery, Thriller",Turkish,4,105
How to with John Wilson,"Docuseries, Comedy, Documentary",English,3,18
The Thick of It,"Satire, Sitcom, Comedy",English,4,24
1883,"Period Drama, Western Epic, Drama, Western",English,1,10
Top Gear,"Motorsport, Travel, Adventure, Sport, Talk Show",English,33,296
Stranger Things,"Dark Fantasy, Fantasy Epic, Monster Horror, Sci-Fi Epic, Supernatural Fantasy, Supernatural Horror, Teen Horror, Drama, Fantasy, Horror",English,5,42
